"Type","Item","Reference","iHR","CI_Lower","CI_Upper","HR_String","Z_Score","P_Value","P_Value_String"
"Component","CTLA4","Chemo Backbone",1.056,0.939,1.189,"1.06 (0.94-1.19)",0.91,0.363498350475689,"= 0.3635"
"Component","IO","Chemo Backbone",0.711,0.659,0.767,"0.71 (0.66-0.77)",-8.83,1.0725331287121e-18,"< 0.0001"
"Component","TKI","Chemo Backbone",0.845,0.746,0.956,"0.84 (0.75-0.96)",-2.66,0.00770884236530067,"= 0.0077"
"Combination (Additive Model)","Chemo + IO","Chemo Backbone",0.711,0.659,0.767,"0.71 (0.66-0.77)",-8.83,1.0725331287121e-18,"< 0.0001"
"Combination (Additive Model)","Chemo + TKI","Chemo Backbone",0.845,0.746,0.956,"0.84 (0.75-0.96)",-2.66,0.00770884236530067,"= 0.0077"
"Combination (Additive Model)","CTLA4 + IO","Chemo Backbone",0.751,0.665,0.848,"0.75 (0.66-0.85)",-4.61,4.07483986720119e-06,"< 0.0001"
"Combination (Additive Model)","IO","Chemo Backbone",0.711,0.659,0.767,"0.71 (0.66-0.77)",-8.83,1.0725331287121e-18,"< 0.0001"
"Combination (Additive Model)","TKI","Chemo Backbone",0.845,0.746,0.956,"0.84 (0.75-0.96)",-2.66,0.00770884236530067,"= 0.0077"
