"","IO_Chemo","TKI_Chemo","Dual_IO","IO_Mono","TKI","Chemo"
"IO_Chemo","IO_Chemo",".","0.91 [0.79; 1.04]","0.85 [0.65; 1.11]",".","0.69 [0.64; 0.74]"
"TKI_Chemo","0.95 [0.81; 1.11]","TKI_Chemo",".",".","0.80 [0.69; 0.93]","0.73 [0.61; 0.87]"
"Dual_IO","0.90 [0.81; 1.00]","0.95 [0.81; 1.12]","Dual_IO","0.96 [0.83; 1.11]",".","0.77 [0.69; 0.85]"
"IO_Mono","0.89 [0.80; 0.98]","0.93 [0.80; 1.10]","0.98 [0.88; 1.09]","IO_Mono",".","0.78 [0.71; 0.86]"
"TKI","0.76 [0.68; 0.86]","0.81 [0.71; 0.92]","0.85 [0.74; 0.97]","0.86 [0.76; 0.98]","TKI","0.89 [0.80; 0.99]"
"Chemo","0.69 [0.64; 0.74]","0.72 [0.63; 0.83]","0.76 [0.69; 0.84]","0.78 [0.71; 0.84]","0.90 [0.82; 0.99]","Chemo"
