"Treatment","Median_Simulated_HR","Simulated_95_CrI","P_MCID_vs_Chemo","P_MCID_085","P_MCID_075","P_Superior_vs_Chemo","Evidence_Tier"
"IO_Chemo",0.687,"0.64-0.74",1,1,0.9899,1,"Tier 1: Definitive Clinical Superiority (P >= 80%)"
"TKI_Chemo",0.725,"0.63-0.83",0.9192,0.9882,0.6789,1,"Tier 1: Definitive Clinical Superiority (P >= 80%)"
"Dual_IO",0.761,"0.69-0.84",0.8464,0.9898,0.371,1,"Tier 1: Definitive Clinical Superiority (P >= 80%)"
"IO_Mono",0.776,"0.71-0.84",0.7627,0.9828,0.2128,1,"Tier 2: Probable Clinical Superiority (50% <= P < 80%)"
"TKI",0.899,"0.81-0.99",0.0105,0.1316,2e-04,0.9826,"Tier 4: Unlikely Clinical Superiority (P < 20%)"
"Chemo",1,"1.00-1.00",0,0,0,0,"Reference Anchor"
