"Comparison","k_Asia","HR_Asia","k_Global","HR_Global","Q_bws","DF","P_Value","Regional_Consistency"
"IO + Chemo vs Chemotherapy",3,"0.69 [0.59; 0.82]",6,"0.68 [0.62; 0.75]",0.0334,1,"0.8549","Consistent (Homogeneous)"
"TKI Monotherapy vs Chemotherapy",4,"0.89 [0.80; 0.99]",1,"0.98 [0.73; 1.30]",0.3821,1,"0.5365","Consistent (Homogeneous)"
"TKI + Chemo vs Chemotherapy",1,"0.72 [0.59; 0.87]",1,"0.75 [0.59; 0.96]",0.0868,1,"0.7683","Consistent (Homogeneous)"
"IO + Chemo vs TKI Monotherapy",0,"0.78 [0.64; 0.95]",0,"0.70 [0.52; 0.94]",0.3842,1,"0.5354","Consistent (Homogeneous)"
"IO + Chemo vs TKI + Chemo",0,"0.97 [0.75; 1.24]",0,"0.90 [0.70; 1.18]",0.1202,1,"0.7288","Consistent (Homogeneous)"
"TKI Monotherapy vs TKI + Chemo",2,"1.24 [1.03; 1.48]",1,"1.30 [1.01; 1.67]",0.0975,1,"0.7549","Consistent (Homogeneous)"
